dataset,model,cal_size,test_size,n_classes,Kernel_brier,Kernel_logloss,Kernel_ece-15,Kernel_accuracy,Kernel_time
hiva_agnostic,BetaTabPFN_GPU,2563,1282,3,0.06826671212911606,0.17381244897842407,2.491474151611328e-05,0.9648985862731934,0.16316934674978256
maternal_health_risk,BetaTabPFN_GPU,676,338,3,0.2751677930355072,0.5027503967285156,0.07835841923952103,0.8254438042640686,0.01198914647102356
splice,BetaTabPFN_GPU,2126,1064,3,0.042107947170734406,0.0848381444811821,0.010609643533825874,0.9736841917037964,0.17100397869944572
students_dropout_and_academic_success,BetaTabPFN_GPU,2949,1475,3,0.31713011860847473,0.5680333971977234,0.030627507716417313,0.7722033858299255,0.24940356239676476
website_phishing,BetaTabPFN_GPU,902,451,3,0.1358945369720459,0.27194762229919434,0.03998465836048126,0.9179601073265076,0.021389510482549667
MIC,ModernNCA_GPU,1132,567,8,0.2062387317419052,0.552757203578949,0.07793914526700974,0.8871251940727234,0.10148325562477112
SDSS17,ModernNCA_GPU,52035,26018,3,0.03913595527410507,0.08063041418790817,0.006964447908103466,0.9763240814208984,26.766897805035114
anneal,ModernNCA_GPU,598,300,5,0.00757562555372715,0.19360217452049255,0.004910583607852459,0.996666669845581,0.017183296382427216
hiva_agnostic,ModernNCA_GPU,2563,1282,3,0.06830335408449173,0.17432302236557007,0.003565847873687744,0.9648985862731934,0.1582319475710392
maternal_health_risk,ModernNCA_GPU,676,338,3,0.21281282603740692,0.3917958736419678,0.030525581911206245,0.8461538553237915,0.011595133692026138
splice,ModernNCA_GPU,2126,1064,3,0.041700586676597595,0.09144711494445801,0.007967526093125343,0.9736841917037964,0.16310741379857063
students_dropout_and_academic_success,ModernNCA_GPU,2949,1475,3,0.3228473365306854,0.5765342116355896,0.03640234097838402,0.7735593318939209,0.2409486323595047
website_phishing,ModernNCA_GPU,902,451,3,0.126925528049469,0.2542807161808014,0.03583356365561485,0.9223946928977966,0.02301618829369545
MIC,Mitra_GPU,1132,567,8,0.20297932624816895,0.5429462790489197,0.07520059496164322,0.8853615522384644,0.0984577015042305
anneal,Mitra_GPU,598,300,5,0.0072590047493577,0.08525257557630539,0.0018339802045375109,0.996666669845581,0.017355773597955704
maternal_health_risk,Mitra_GPU,676,338,3,0.1820252239704132,0.3572612404823303,0.030626967549324036,0.8905325531959534,0.011646654456853867
splice,Mitra_GPU,2126,1064,3,0.04227764904499054,0.08874263614416122,0.010650604963302612,0.9718044996261597,0.1791643127799034
students_dropout_and_academic_success,Mitra_GPU,2949,1475,3,0.3129599094390869,0.5581328868865967,0.031743619590997696,0.7769491672515869,0.25193336978554726
website_phishing,Mitra_GPU,902,451,3,0.11461308598518372,0.2323491871356964,0.030207287520170212,0.9312638640403748,0.021050244569778442
MIC,TabDPT_GPU,1132,567,8,0.2094397097826004,0.5508556962013245,0.06400799751281738,0.8835979104042053,0.09857898578047752
SDSS17,TabDPT_GPU,52035,26018,3,0.043049681931734085,0.09515385329723358,0.010102261789143085,0.9750557541847229,26.230246298015118
anneal,TabDPT_GPU,598,300,5,0.013329080305993557,0.14610065519809723,0.004939079284667969,0.9933333396911621,0.01738184690475464
hiva_agnostic,TabDPT_GPU,2563,1282,3,0.06826707720756531,0.17382045090198517,0.00040203332901000977,0.9648985862731934,0.16468597576022148
maternal_health_risk,TabDPT_GPU,676,338,3,0.17766335606575012,0.3710825741291046,0.03979061543941498,0.8786982297897339,0.011707454919815063
splice,TabDPT_GPU,2126,1064,3,0.10437306016683578,0.20323516428470612,0.027218297123908997,0.9351503849029541,0.10940159112215042
students_dropout_and_academic_success,TabDPT_GPU,2949,1475,3,0.32598820328712463,0.5817564129829407,0.03369702026247978,0.7667796611785889,0.22097617015242577
website_phishing,TabDPT_GPU,902,451,3,0.11921141296625137,0.2564965784549713,0.02509467676281929,0.9312638640403748,0.020559195429086685
