dataset,model,cal_size,test_size,CDF-Spline_brier,CDF-Spline_logloss,CDF-Spline_kuiper,CDF-Spline_ece-15,CDF-Spline_accuracy,CDF-Spline_time
2dplanes,CatBoost,36691,4077,0.09546382677697052,,0.00502933282405138,0.01148904487490654,0.9264164566993713,0.23120281845331192
2dplanes,ExtraTrees,36691,4077,0.09473897587355831,,0.004977496340870857,0.008957971818745136,0.9249448180198669,0.21911665331572294
2dplanes,LightGBM,36691,4077,0.0951883250130149,,0.004922551568597555,0.011055318638682365,0.9298503994941711,0.21962836664170027
2dplanes,LinearModel,36691,4077,0.23331928908112876,,0.010339565575122833,0.020263802260160446,0.8415501713752747,0.21855738386511803
2dplanes,NeuralNetFastAI,36691,4077,0.09418833455711312,,0.0037408829666674137,0.0074026742950081825,0.9332842826843262,0.21948646567761898
2dplanes,NeuralNetTorch,36691,4077,0.09473079023472014,,0.004913694225251675,0.008453291840851307,0.931812584400177,0.2202681265771389
2dplanes,RandomForest,36691,4077,0.09553409293100981,,0.005665359552949667,0.016173481941223145,0.927397608757019,0.22464756481349468
2dplanes,XGBoost,36691,4077,0.09541928573294764,,0.005237341858446598,0.01213782001286745,0.9276428818702698,0.21665328741073608
APSFailure,CatBoost,68400,7600,0.00787927702377125,,0.0018483264138922095,0.0021190952975302935,0.9952631592750549,0.40747124422341585
APSFailure,ExtraTrees,68400,7600,0.010498868717741493,,0.005196716636419296,0.0047538974322378635,0.9940789341926575,0.4072508867830038
APSFailure,LightGBM,68400,7600,0.007824568069613852,,0.0015217146137729287,0.0017770691774785519,0.9952631592750549,0.4069695910438895
APSFailure,LinearModel,68400,7600,0.01144220521979433,,0.0011654684785753489,0.002594013698399067,0.99289470911026,0.4117321465164423
APSFailure,NeuralNetFastAI,68400,7600,0.009690012980654056,,0.002762745600193739,0.00397336995229125,0.9934210777282715,0.4043756043538451
APSFailure,NeuralNetTorch,68400,7600,0.01068031736927446,,0.0014329934492707253,0.002820385852828622,0.9930263161659241,0.3996734609827399
APSFailure,RandomForest,68400,7600,0.009538206247376129,,0.00809305626899004,0.004856014624238014,0.9950000047683716,0.4035503948107362
APSFailure,XGBoost,68400,7600,0.007641815304749133,,0.001803987193852663,0.0017253129044547677,0.9952631592750549,0.4054540190845728
Amazon_employee_access,CatBoost,29492,3277,0.07187744421411794,0.1338172545072571,0.0043601361103355885,0.011404316872358322,0.9551419019699097,0.1759365936741233
Amazon_employee_access,ExtraTrees,29492,3277,0.08082837131570693,0.15048063149214558,0.00947837345302105,0.013933753594756126,0.9469026327133179,0.17311773635447025
Amazon_employee_access,LightGBM,29492,3277,0.07907704046165913,0.150687675027294,0.004191192332655191,0.010479411110281944,0.9502593874931335,0.17262488324195147
Amazon_employee_access,LinearModel,29492,3277,0.08367184185509563,0.1565787482014117,0.0046348730102181435,0.006639092229306698,0.9456820487976074,0.17360706441104412
Amazon_employee_access,NeuralNetFastAI,29492,3277,0.08349070251709625,,0.0044081490486860275,0.008874708786606789,0.9462923407554626,0.1745470119640231
Amazon_employee_access,NeuralNetTorch,29492,3277,0.08502861121345866,0.16014109644986385,0.006772562861442566,0.014103596098721027,0.9472078084945679,0.17086174432188272
Amazon_employee_access,RandomForest,29492,3277,0.07760499502621618,0.1442820192177595,0.009668216109275818,0.015602866187691689,0.9478181004524231,0.17328616231679916
Amazon_employee_access,XGBoost,29492,3277,0.07552664721279213,0.1442095386343751,0.00402496661990881,0.008043675683438778,0.951785147190094,0.1756564099341631
Australian,CatBoost,621,69,0.17284090823890033,,0.05056732892990112,0.0897991955280304,0.8695651888847351,0.004487738013267517
Australian,ExtraTrees,621,69,0.17115670778082914,,0.06077656149864197,0.09348641335964203,0.8550724387168884,0.004406897351145744
Australian,LightGBM,621,69,0.17833148315002004,0.33335719241892026,0.06291456520557404,0.095085509121418,0.8695651888847351,0.004175142385065556
Australian,LinearModel,621,69,0.1707305684045667,,0.058123208582401276,0.11761123687028885,0.9130434989929199,0.004395133815705776
Australian,NeuralNetFastAI,621,69,0.15382420043302195,,0.0631539449095726,0.09391177445650101,0.8985507488250732,0.004408219829201698
Australian,NeuralNetTorch,621,69,0.16451544306288357,,0.04497595131397247,0.10657300055027008,0.8840579986572266,0.004439586773514748
Australian,RandomForest,621,69,0.16390327058412607,,0.05114073306322098,0.09253350645303726,0.8550724387168884,0.0044121211394667625
Australian,XGBoost,621,69,0.1517706614107975,,0.047755658626556396,0.10645730793476105,0.8840579986572266,0.004430465400218964
Bioresponse,CatBoost,3375,376,0.27924100964992654,0.4383268953631635,0.027374867349863052,0.0764002576470375,0.8058510422706604,0.020416859537363052
Bioresponse,ExtraTrees,3375,376,0.2865800532852301,,0.026918359100818634,0.06916548311710358,0.7978723645210266,0.02009498607367277
Bioresponse,LightGBM,3375,376,0.27853206598725067,0.434483526307175,0.030125577002763748,0.06921934336423874,0.811170220375061,0.020235945470631123
Bioresponse,LinearModel,3375,376,0.3654979902691767,0.5498039928291715,0.035698212683200836,0.06534295529127121,0.7420212626457214,0.020360001362860203
Bioresponse,NeuralNetFastAI,3375,376,0.2865754156431176,0.4420181530859752,0.023858660832047462,0.04853689670562744,0.7792553305625916,0.020499550737440586
Bioresponse,NeuralNetTorch,3375,376,0.2920063690437221,0.4506339485479537,0.02496553584933281,0.0658249482512474,0.7872340679168701,0.020454763434827328
Bioresponse,RandomForest,3375,376,0.28225985800522635,,0.032016973942518234,0.06241106986999512,0.811170220375061,0.020281418226659298
Bioresponse,XGBoost,3375,376,0.2764128711005986,0.4333828383444876,0.02993796020746231,0.053318098187446594,0.8164893388748169,0.020292095839977264
Click_prediction_small,CatBoost,35953,3995,0.2534228139481929,0.41197275430492686,0.008390827104449272,0.01439175195991993,0.8362953662872314,0.20909494254738092
Click_prediction_small,ExtraTrees,35953,3995,0.26023001554194664,0.4208596060807324,0.007277224212884903,0.005430933088064194,0.8340425491333008,0.20653986558318138
Click_prediction_small,LightGBM,35953,3995,0.25810626331048625,,0.0071191079914569855,0.011979965493083,0.8367959856987,0.2093614637851715
Click_prediction_small,LinearModel,35953,3995,0.25933290830297684,0.42191008038817,0.01047087088227272,0.014176817610859871,0.8370463252067566,0.2117658294737339
Click_prediction_small,NeuralNetFastAI,35953,3995,0.258277591099391,0.4199138037362055,0.006163563579320908,0.006290958262979984,0.8375469446182251,0.20899917371571064
Click_prediction_small,NeuralNetTorch,35953,3995,0.2595380558982252,0.4188365482337177,0.004804942756891251,0.00956973247230053,0.8345431685447693,0.20766877848654985
Click_prediction_small,RandomForest,35953,3995,0.2591150671269862,0.4182501522726773,0.004262462258338928,0.009178526699543,0.8347935080528259,0.2075098529458046
Click_prediction_small,XGBoost,35953,3995,0.2579948125860477,0.417382418955832,0.007111072540283203,0.011391356587409973,0.8345431685447693,0.21098195388913155
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,CatBoost,1440,160,0.3965417580299762,0.5864260138853921,0.07486431300640106,0.12756267189979553,0.7437499761581421,0.009171079844236374
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,ExtraTrees,1440,160,0.5009774278968269,0.6941234643740686,0.05182499438524246,0.02953648939728737,0.4625000059604645,0.008992709219455719
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,LightGBM,1440,160,0.5144139745279737,0.7076143924088487,0.0842021107673645,0.07031802833080292,0.38749998807907104,0.00903234537690878
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,LinearModel,1440,160,0.5167240623008098,0.7108501398652398,0.05917225778102875,0.0826450064778328,0.5062500238418579,0.009314855560660362
